zone_x,zone_y,xt_value
0,0,0.00638
0,1,0.00779
0,2,0.00844
0,3,0.00882
0,4,0.00882
0,5,0.00844
0,6,0.00779
0,7,0.00638
1,0,0.00750
1,1,0.00878
1,2,0.00942
1,3,0.00975
1,4,0.00975
1,5,0.00942
1,6,0.00878
1,7,0.00750
2,0,0.00876
2,1,0.01001
2,2,0.01076
2,3,0.01113
2,4,0.01113
2,5,0.01076
2,6,0.01001
2,7,0.00876
3,0,0.01044
3,1,0.01216
3,2,0.01331
3,3,0.01392
3,4,0.01392
3,5,0.01331
3,6,0.01216
3,7,0.01044
4,0,0.01281
4,1,0.01536
4,2,0.01722
4,3,0.01825
4,4,0.01825
4,5,0.01722
4,6,0.01536
4,7,0.01281
5,0,0.01614
5,1,0.02007
5,2,0.02315
5,3,0.02484
5,4,0.02484
5,5,0.02315
5,6,0.02007
5,7,0.01614
6,0,0.02081
6,1,0.02703
6,2,0.03225
6,3,0.03519
6,4,0.03519
6,5,0.03225
6,6,0.02703
6,7,0.02081
7,0,0.02736
7,1,0.03715
7,2,0.04596
7,3,0.05116
7,4,0.05116
7,5,0.04596
7,6,0.03715
7,7,0.02736
8,0,0.03625
8,1,0.05141
8,2,0.06592
8,3,0.07474
8,4,0.07474
8,5,0.06592
8,6,0.05141
8,7,0.03625
9,0,0.04779
9,1,0.07044
9,2,0.09373
9,3,0.10854
9,4,0.10854
9,5,0.09373
9,6,0.07044
9,7,0.04779
10,0,0.06174
10,1,0.09386
10,2,0.12999
10,3,0.15470
10,4,0.15470
10,5,0.12999
10,6,0.09386
10,7,0.06174
11,0,0.07581
11,1,0.12045
11,2,0.17553
11,3,0.29795
11,4,0.29795
11,5,0.17553
11,6,0.12045
11,7,0.07581
